Datum,Opis,Isplata,Uplata,Primalac/Platilac,Kategorija
01.08.2025,Kupovina,999.0,0.0,"STAMPASISTEM
DOOBEOGRAD
688",❓ Ostalo
01.08.2025,Kupovina,2179.84,0.0,"carVerticalVilnius
440",❓ Ostalo
01.08.2025,Kupovina,2278.0,0.0,"KIDSBEBA09
CACAK688",👗 Odeća i obuća
01.08.2025,Kupovina,4255.0,0.0,"KIDSBEBA09
CACAK688",👗 Odeća i obuća
01.08.2025,Kupovina,245.98,0.0,"LILLYAPOTEKA
CACAKRPCACAK
688",🏥 Apoteke
01.08.2025,Kupovina,3065.97,0.0,"LILLYAPOTEKA
CACAKRPCACAK
688",🏥 Apoteke
01.08.2025,"Isplatasaračuna-
plaćanjeračuna",5488.85,0.0,A1,📱 Računi i usluge
04.08.2025,Kupovina,5280.0,0.0,"SRBOTRADE
ECOMME
BEOGRAD688",❓ Ostalo
04.08.2025,Kupovina,789.0,0.0,"STAMPASISTEM
DOOBEOGRAD
688",❓ Ostalo
04.08.2025,Kupovina,1300.0,0.0,"KIDSBEBA09
CACAK688",👗 Odeća i obuća
04.08.2025,Kupovina,3137.09,0.0,"carVerticalVilnius
440",❓ Ostalo
04.08.2025,Kupovina,6000.15,0.0,"540BSCACAKI
CACAK688",❓ Ostalo
04.08.2025,Kupovina,1210.0,0.0,"KAFERESTORAN
PROLECECACAK
688",🍔 Restorani i dostava
05.08.2025,"Netozarada:JUL
2025/2",0.0,409568.58,"FinTechSolutions
CEEDOO",👗 Odeća i obuća
05.08.2025,"Neto(OPJ1-1101):
JUL2025",0.0,3650.0,"FinTechSolutions
CEEDOO",❓ Ostalo
05.08.2025,Kupovina,2385.82,0.0,"PRODAJA
MESOVITEROBE
KMNCACAK688",🛒 Marketi
05.08.2025,Kupovina,999.96,0.0,"LIDL141CACAK
CACAK688",🛒 Marketi
05.08.2025,Kupovina,1859.52,0.0,"PAYSPOT
VUCKOVICM1
CACAK688",🏥 Apoteke
05.08.2025,Kupovina,2118.0,0.0,"RS05StopShop
CacaCACAK688",❓ Ostalo
05.08.2025,Kupovina,366.6,0.0,"JPPUTEVISRBIJE
ECOMMER
BEOGRAD688",❓ Ostalo
05.08.2025,"Isplatagotovinena
ATM-u",3000.0,0.0,"BANCAINTESA
BEOGRADCACAK
688",💵 Gotovina (ATM)
05.08.2025,Kupovina,8861.52,0.0,"LIDL141Čačak
Čačak688",🛒 Marketi
06.08.2025,PRODAJA,117950.0,0.0,FILIPMILIĆEVIĆ,💱 Menjačnica
